,Legal Proceedings & Law Violations,Biodiversity,Communities Health and Safety,Land Acquisition and Resettlement (S),Emergencies (Social),Corporate Governance,Responsible Investment & Greenwashing,Not Relevant to ESG,Economic Crime,Emergencies (Environmental),Hazardous Materials Management,Environmental Management,Landscape Transformation,Human Rights,Climate Risks,Labor Relations Management,Freedom of Association and Right to Organise,Employee Health and Safety,Surface Water Pollution,Animal Welfare,Water Consumption,Disclosure,Product Safety and Quality,Greenhouse Gas Emissions,Indigenous People,Cultural Heritage,Air Pollution,Waste Management,Soil and Groundwater Impact,Forced Labour,Wastewater Management,Natural Resources,Physical Impacts,Values and Ethics,Risk Management and Internal Control,Supply Chain (Environmental),Supply Chain (Social),Discrimination,Minimum Age and Child Labour,Planning Limitations,Data Safety,Strategy Implementation,Energy Efficiency and Renewables,Land Acquisition and Resettlement (E),Supply Chain (Economic / Governance),Land Rehabilitation,Retrenchment,Y,ESG-рейтинг,E Rank,E-рейтинг,S Rank,S-рейтинг,G Rank,G-рейтинг
x5 group,0.0181615389883518,0.0329396016895771,0.0173919554799795,0.0192556753754615,0.0308389533311128,0.4897762835025787,0.3743179738521576,0.337098628282547,0.1092136055231094,0.1023189276456832,0.0169416945427656,0.3213066458702087,0.0125832362100481,0.2540976405143738,0.004021530970931,0.0081240404397249,0.0301409009844064,0.2427778542041778,0.2729459702968597,0.0219968147575855,0.0070595722645521,0.0122692240402102,0.0617213137447834,0.0581458248198032,0.2242347598075866,0.0038434381131082,0.1283153146505355,0.0028486063238233,0.7750828266143799,0.0366439819335937,0.391270637512207,0.3133524060249328,0.020826956257224,0.2529762685298919,0.0038268496282398,0.0453417152166366,0.0504201874136924,0.2600283920764923,0.044493231922388,0.0425461269915103,0.079535849392414,0.0120157990604639,0.0515310652554035,0.0417093746364116,0.0465570427477359,0.0401664972305297,0.0629626512527465,19,0.6111111111111112,17,0.6111111111111112,27,0.7222222222222222,29,0.7222222222222222
алроса,0.0323510877788066,0.1566177606582641,0.0246100835502147,0.0361875109374523,0.0998793989419937,0.587354302406311,0.4800814986228943,0.5258382558822632,0.1946133226156234,0.2272988557815551,0.0388579331338405,0.6558763980865479,0.0552541203796863,0.3008918166160583,0.0235451441258192,0.0237410459667444,0.0757068246603012,0.3798685371875763,0.4844542443752289,0.0385553278028965,0.0117945149540901,0.0546825304627418,0.0897178351879119,0.1007591933012008,0.3252374529838562,0.0213365890085697,0.2410714328289032,0.0051859403029084,0.7530859112739563,0.0859093070030212,0.3065058588981628,0.4532054960727691,0.0466599240899086,0.5829944610595703,0.0099389292299747,0.0923017561435699,0.0663482248783111,0.4117847084999084,0.0749053508043289,0.0758513435721397,0.2972305715084076,0.0199118219316005,0.1003643423318862,0.1382768303155899,0.0668765604496002,0.0683429241180419,0.0904798433184623,38,0.5,46,0.2777777777777778,29,0.6111111111111112,38,0.6111111111111112
норильский никель,0.0367108657956123,0.1512963771820068,0.0154382018372416,0.0650612041354179,0.1130862683057785,0.5444426536560059,0.4264169931411743,0.4337299466133117,0.202852264046669,0.2976169884204864,0.0346846356987953,0.6268754005432129,0.0506443902850151,0.2413168996572494,0.0419939383864402,0.0212133768945932,0.0664887577295303,0.4484054744243622,0.6252403259277344,0.0961780250072479,0.0225341264158487,0.0751658454537391,0.0747813433408737,0.071385309100151,0.4303140640258789,0.0294310990720987,0.2562790811061859,0.0057289395481348,0.8173791766166687,0.0745425522327423,0.5741132497787476,0.4896531105041504,0.0506447367370128,0.5610697865486145,0.0189311448484659,0.1098712235689163,0.0522301755845546,0.2608578205108642,0.0943768247961998,0.0880538448691368,0.1569157093763351,0.0249124616384506,0.1249096021056175,0.1589188575744629,0.0936653763055801,0.0793102011084556,0.1222061589360237,10,0.7222222222222222,12,0.7222222222222222,12,0.7222222222222222,11,0.8333333333333334
vk,0.0240471791476011,0.0583576820790767,0.0171451810747385,0.0295513477176427,0.0475997701287269,0.5658764243125916,0.4329361915588379,0.5066614151000977,0.1231421679258346,0.1380960345268249,0.0174818765372037,0.5316685438156128,0.0185182336717844,0.1942101418972015,0.0111934840679168,0.0120210824534296,0.0591536723077297,0.3539207875728607,0.3592781126499176,0.0415482930839061,0.0102367047220468,0.0237083993852138,0.0737092122435569,0.0838040336966514,0.3167788982391357,0.0070881508290767,0.1812782138586044,0.0035468908026814,0.8696373701095581,0.0726748257875442,0.3780342042446136,0.3833370208740234,0.0256710108369588,0.3398411571979522,0.0060112322680652,0.0984497889876365,0.0802969485521316,0.4292621314525604,0.0624893605709075,0.0516688376665115,0.1673919707536697,0.0328888185322284,0.0678166076540947,0.0713098123669624,0.0493360608816146,0.0516146719455719,0.0792005136609077,23,0.6111111111111112,35,0.3888888888888889,6,0.8333333333333334,41,0.6111111111111112
мкб,0.0244145207107067,0.08541239798069,0.0208779424428939,0.0274447593837976,0.058523952960968,0.6658244729042053,0.4492963850498199,0.5267742276191711,0.1658433973789215,0.1744881570339203,0.0284579936414957,0.5562991499900818,0.0336275734007358,0.4372778832912445,0.0070661935023963,0.0092942593619227,0.0419107787311077,0.3801243901252746,0.393170028924942,0.0267463475465774,0.010582054965198,0.025087958201766,0.0747074708342552,0.0628141984343528,0.3746816217899322,0.0091444943100214,0.2281275540590286,0.0036501188296824,0.7947515249252319,0.0546586364507675,0.3311634361743927,0.4183882772922516,0.0371212884783744,0.4709169864654541,0.004862802568823,0.0741121023893356,0.0466799326241016,0.3955038487911224,0.071800448000431,0.0496842041611671,0.1571122109889984,0.017959464341402,0.0718449726700782,0.0719722956418991,0.0728043615818023,0.0548630394041538,0.0626493170857429,7,0.8333333333333334,7,0.7222222222222222,10,0.7222222222222222,17,0.8333333333333334
фосагро,0.0282541494816541,0.0584019534289836,0.0213173795491457,0.0266278702765703,0.0467349290847778,0.5904120206832886,0.5081341862678528,0.5449400544166565,0.1638857722282409,0.169555053114891,0.0266070831567049,0.416936993598938,0.021468011662364,0.2703702449798584,0.0087862564250826,0.0109152263030409,0.0534904897212982,0.3342747688293457,0.3861896693706512,0.0584431216120719,0.010456996038556,0.0244332943111658,0.0967122092843055,0.0726868286728859,0.3154557943344116,0.0070015573874115,0.1952056735754013,0.0038474698085337,0.8357521295547485,0.0704355984926223,0.4614705443382263,0.4050755500793457,0.0430073849856853,0.2998506426811218,0.0099360197782516,0.0983009338378906,0.0789379328489303,0.4107463657855987,0.0671437457203865,0.0642540529370307,0.1551596671342849,0.023508608341217,0.1007666811347007,0.082296647131443,0.066161572933197,0.063646875321865,0.0899795964360237,2,0.8333333333333334,5,0.8333333333333334,3,0.8333333333333334,2,0.9444444444444444
полюс,0.0296505223959684,0.06154390797019,0.0303794890642166,0.0269033461809158,0.0393648631870746,0.552986204624176,0.4549726247787475,0.5704822540283203,0.1485769003629684,0.1292492002248764,0.0233904123306274,0.370062381029129,0.0251736287027597,0.3125719130039215,0.0073553244583308,0.0158883538097143,0.0553400106728076,0.287816047668457,0.3769941031932831,0.0344795174896717,0.0093447910621762,0.0227922089397907,0.1011264398694038,0.060393325984478,0.2326949387788772,0.0060053463093936,0.1687808483839035,0.0036984307225793,0.8127486705780029,0.0653139054775238,0.4675767719745636,0.3915029764175415,0.0352193489670753,0.2930324971675873,0.0061299903318285,0.0877884179353714,0.0650618150830268,0.3406409621238708,0.0606052465736866,0.0643057972192764,0.1558359861373901,0.0194355174899101,0.0812023878097534,0.063464231789112,0.067147359251976,0.0431186482310295,0.062543012201786,3,0.8333333333333334,1,0.8333333333333334,2,0.8333333333333334,14,0.8333333333333334
транснефть,0.0258476790040731,0.0663647577166557,0.0163785945624113,0.0276598799973726,0.0567509233951568,0.4736757576465606,0.3370672166347503,0.6464157104492188,0.1518273949623108,0.2000721096992492,0.0277846958488225,0.4890888929367065,0.0171615332365036,0.1539231687784195,0.0074565596878528,0.0131729794666171,0.0442691445350647,0.3253097534179687,0.3936793506145477,0.0429824069142341,0.0136710628867149,0.0209398176521062,0.0727161318063736,0.0606182515621185,0.3895443677902221,0.0056060557253658,0.1987324059009552,0.0039534107781946,0.809868335723877,0.0610120482742786,0.2795479595661163,0.3982742428779602,0.0347015857696533,0.2402423024177551,0.0105333738029003,0.0943473875522613,0.0673262402415275,0.4378302991390228,0.0766021534800529,0.0527653954923152,0.1344010680913925,0.0269690807908773,0.072366714477539,0.064111053943634,0.0726934522390365,0.0494383126497268,0.0549919940531253,94,0.2777777777777778,82,0.16666666666666666,76,0.2777777777777778,115,0.2777777777777778
интер рао,0.0235667861998081,0.0465491712093353,0.0177432782948017,0.0214559193700552,0.0513566024601459,0.6463168859481812,0.3487733006477356,0.5289859771728516,0.200326457619667,0.1064111068844795,0.0167105086147785,0.3283140957355499,0.0204329714179039,0.1924502104520797,0.0057839825749397,0.0131948534399271,0.055438108742237,0.2427697926759719,0.3150954842567444,0.0319123305380344,0.0096497796475887,0.0167531929910182,0.0967831090092659,0.0733052119612693,0.2828761339187622,0.0043485523201525,0.13896444439888,0.0036849826574325,0.7601411938667297,0.0604613311588764,0.3821993172168731,0.4619704782962799,0.0374272167682647,0.2349785715341568,0.0068698585964739,0.0744350850582122,0.051041517406702,0.3557040989398956,0.0524421110749244,0.0454061031341552,0.1581465005874633,0.0310273766517639,0.0743214339017868,0.0808684602379798,0.0696334242820739,0.0545115210115909,0.06439159065485,25,0.6111111111111112,27,0.5,33,0.6111111111111112,22,0.7222222222222222
новатэк,0.0606267265975475,0.1350676864385604,0.0140258837491273,0.0597105361521244,0.0956773087382316,0.6048475503921509,0.3965337574481964,0.6079099774360657,0.2358941733837127,0.2200593948364257,0.0390858650207519,0.7383549213409424,0.0751532614231109,0.2593410611152649,0.1530131697654724,0.0406302213668823,0.0408592820167541,0.3624373376369476,0.5303142666816711,0.0799533501267433,0.014589911326766,0.099177561700344,0.0948678627610206,0.1076692566275596,0.2098499238491058,0.0423359088599681,0.3218507170677185,0.0118581308051943,0.8088954091072083,0.180406853556633,0.5064671039581299,0.6108437776565552,0.0441175289452075,0.708044707775116,0.0293505564332008,0.0902941972017288,0.0683201998472213,0.2426507174968719,0.0768294930458068,0.1206860840320587,0.1803227365016937,0.0431095398962497,0.0845041126012802,0.1383508294820785,0.0777047351002693,0.0247752815485,0.1028002500534057,28,0.6111111111111112,28,0.5,31,0.6111111111111112,32,0.6111111111111112
